mcap_bie2019;dur_mat2019;cau_div2019;sexo_1.2019;niv_inst1.2019;p_etnica1.2019;edad_1.2019;sexo_2.2019;p_etnica2.2019;niv_inst2.2019;edad_2.2019;mcap_bie2021;dur_mat2021;cau_div2021;sexo_1.2021;p_etnica1.2021;niv_inst1.2021;edad_1.2021;sexo_2.2021;p_etnica2.2021;niv_inst2.2021;edad_2.2021;mcap_bie2022;dur_mat2022;cau_div2022;sexo_1;p_etnica1.2022;niv_inst1.2022;edad_1.2022;sexo_2;p_etnica2.2022;niv_inst2.2022;edad_2.2022
No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Primaria;Mestizo;39;Mujer;Mestizo; Primaria;46; No;3;Por mutuo consentimiento via notarial;Hombre;Otro; Sin información;25;Hombre;Mestizo; Superior Universitario;22; No;41;Por mutuo consentimiento via notarial;Mujer;Mestizo; Secundaria;65;Hombre;Mestizo; Secundaria;75
Sin informacion;1;Por mutuo consentimiento via notarial;Hombre; Secundaria;Mestizo;49;Mujer;Mestizo; Secundaria;49; No;3;Por mutuo consentimiento via judicial;Hombre;Indígena; Secundaria;27;Mujer;Indígena; Secundaria;22; No;25;Por mutuo consentimiento via judicial;Hombre;Indígena; Educación Básica;43;Mujer;Indígena; Educación Básica;43
No;3;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Superior Universitario;Mestizo;35;Hombre;Mestizo; Secundaria;33; No;2;Por mutuo consentimiento via notarial;Hombre;Mestizo; Secundaria;30;Hombre;Mestizo; Secundaria;21; No;21;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;39;Hombre;Mestizo; Educación media / Bachillerato;39
No;26;Por mutuo consentimiento via notarial;Mujer; Secundaria;Mestizo;45;Mujer;Mestizo; Secundaria;47; No;2;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;Mestizo; Secundaria;24;Hombre;Mestizo; Secundaria;21; No;5;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;28;Mujer;Mestizo; Educación media / Bachillerato;27
No;24;Por mutuo consentimiento via judicial;Mujer; Secundaria;Mestizo;43;Mujer;Mestizo; Secundaria;42; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Indígena; Primaria;23;Mujer;Indígena; Secundaria;22; No;11;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Educación Básica;31;Mujer;Indígena; Educación Básica;37
Si;17;Por mutuo consentimiento via judicial;Mujer; Secundaria;Mestizo;43;Mujer;Indigena; Secundaria;41; No;6;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Secundaria;25;Mujer;Mestizo; Secundaria;22; No;24;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;49;Mujer;Mestizo; Educación media / Bachillerato;51
No;13;Por mutuo consentimiento via judicial;Mujer; Secundaria;Mestizo;34;Mujer;Mestizo; Secundaria;35; No;4;Por mutuo consentimiento via judicial;Mujer;Mestizo; Primaria;29;Mujer;Mestizo; Primaria;22; No;12;Por mutuo consentimiento via notarial;Hombre;Mestizo; Secundaria;44;Mujer;Mestizo; Secundaria;33
No;30;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer; Educacion media o Bachillerato;Mestizo;60;Hombre;Mestizo; Secundaria;60; No;1;Los tratos crueles o violencia contra la mujer o miembros del nucleo familiar;Hombre;Mestizo; Secundaria;34;Hombre;Mestizo; Secundaria;22; No;28;Por mutuo consentimiento via notarial;Mujer;Mestizo; Secundaria;50;Hombre;Mestizo; Superior Universitario;51
No;11;Por mutuo consentimiento via notarial;Mujer; Educacion media o Bachillerato;Mestizo;33;Mujer;Mestizo; Secundaria;33; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Indígena; Educación media / Bachillerato;26;Mujer;Indígena; Secundaria;21; No;41;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación Básica;59;Mujer;Mestizo; Educación Básica;63
No;0;Por mutuo consentimiento via notarial;Mujer; Superior no Universitario;Blanco;33;Mujer;Otro; Superior no Universitario;27; No;38;Por mutuo consentimiento via judicial;Hombre;Indígena; Secundaria;62;Hombre;Indígena; Secundaria;62; No;4;Por mutuo consentimiento via notarial;Mujer;Mestizo; Posgrado;29;Hombre;Mestizo; Superior Universitario;29
No;18;Por mutuo consentimiento via notarial;Mujer; Educacion Basica;Mestizo;41;Mujer;Sin informacion; Primaria;39; Sin informacion;32;Por mutuo consentimiento via judicial;Mujer;Indígena; Primaria;53;Hombre;Indígena; Secundaria;49; No;28;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;53;Mujer;Mestizo; Educación media / Bachillerato;56
No;29;Por mutuo consentimiento via notarial;Mujer; Educacion Basica;Mestizo;55;Mujer;Mestizo; Educacion Basica;52; No;21;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Primaria;48;Hombre;Mestizo; Primaria;40; No;36;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Educación media / Bachillerato;58;Mujer;Mestizo; Educación media / Bachillerato;53
No;26;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer; Primaria;Mestizo;48;Hombre;Mestizo; Primaria;47; No;17;Por mutuo consentimiento via judicial;Mujer;Mestizo; Secundaria;66;Hombre;Mestizo; Secundaria;35; No;3;Por mutuo consentimiento via notarial;Hombre;Mestizo; Superior no Universitario;36;Mujer;Mestizo; Superior Universitario;32
No;13;Por mutuo consentimiento via notarial;Mujer; Secundaria;Indigena;39;Hombre;Indigena; Secundaria;44; No;26;Por mutuo consentimiento via judicial;Hombre;Mestizo; Superior Universitario;48;Mujer;Mestizo; Secundaria;45; No;34;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Indígena; Educación Básica;58;Hombre;Indígena; Educación Básica;56
No;42;Por mutuo consentimiento via notarial;Mujer; Educacion Basica;Mestizo;65;Hombre;Mestizo; Educacion Basica;64; Sin informacion;10;Por mutuo consentimiento via judicial;Hombre;Mestizo; Secundaria;33;Mujer;Mestizo; Secundaria;29; No;34;Por mutuo consentimiento via judicial;Hombre;Montubio; Superior no Universitario;56;Mujer;Mestizo; Educación media / Bachillerato;55
No;42;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;61;Hombre;Mestizo; Secundaria;61; No;55;Por mutuo consentimiento via notarial;Hombre;Mestizo; Secundaria;73;Mujer;Mestizo; Secundaria;73; Sin informacion;16;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;44;Mujer;Mestizo; Educación media / Bachillerato;38
No;18;Por mutuo consentimiento via judicial;Hombre; Primaria;Mulato;38;Hombre;Mestizo; Primaria;34; No;44;Por mutuo consentimiento via notarial;Hombre;Mestizo; Secundaria;69;Mujer;Indígena; Secundaria;64; No;30;Por mutuo consentimiento via notarial;Mujer;Mestizo; Superior Universitario;54;Hombre;Mestizo; Superior no Universitario;52
No;3;Por mutuo consentimiento via notarial;Hombre; Primaria;Mestizo;32;Hombre;Mestizo; Primaria;26; No;11;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;Mestizo; Secundaria;31;Mujer;Mestizo; Secundaria;35; No;10;Por mutuo consentimiento via notarial;Hombre;Blanco; Superior no Universitario;29;Mujer;Mestizo; Superior no Universitario;28
No;26;Por mutuo consentimiento via judicial;Hombre; Superior no Universitario;Otro;60;Hombre;Mulato; Educacion Basica;56; Sin informacion;30;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;65;Mujer;Mestizo; Secundaria;64; No;5;Por mutuo consentimiento via notarial;Hombre;Mestizo; Superior no Universitario;32;Mujer;Mestizo; Superior no Universitario;43
No;10;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;49;Mujer;Mestizo; Educacion media o Bachillerato;43; No;12;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;35;Mujer;Mestizo; Secundaria;38; No;12;Por mutuo consentimiento via notarial;Hombre;Mestizo; Superior no Universitario;34;Mujer;Mestizo; Superior no Universitario;33
No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Secundaria;Mestizo;47;Mujer;Mestizo; Educacion media o Bachillerato;42; Sin informacion;1;Por mutuo consentimiento via notarial;Hombre;Blanco; Superior no Universitario;22;Mujer;Otro; Superior no Universitario;21; No;9;Por mutuo consentimiento via notarial;Hombre;Mestizo; Superior Universitario;36;Mujer;Mestizo; Superior Universitario;35
No;15;Por mutuo consentimiento via judicial;Hombre; Secundaria;Indigena;43;Mujer;Indigena; Primaria;44; Sin informacion;2;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación Básica;22;Hombre;Sin información; Primaria;24; No;15;Por mutuo consentimiento via notarial;Mujer;Mestizo; Superior no Universitario;34;Hombre;Mestizo; Superior no Universitario;34
No;15;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Secundaria;Mestizo;57;Mujer;Mestizo; Secundaria;56; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer;Mestizo; Educación Básica;21;Mujer;Mestizo; Educación Básica;24; No;15;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Educación media / Bachillerato;50;Hombre;Mestizo; Educación media / Bachillerato;34
No;4;Por mutuo consentimiento via judicial;Hombre; Secundaria;Mestizo;29;Mujer;Mestizo; Educacion media o Bachillerato;26; Sin informacion;0;Por mutuo consentimiento via notarial;Hombre;Mestizo; Primaria;21;Mujer;Mestizo; Primaria;19; Sin informacion;7;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación Básica;38;Mujer;Mestizo; Educación media / Bachillerato;35
No;9;Por mutuo consentimiento via judicial;Hombre; Primaria;Mestizo;38;Mujer;Mestizo; Primaria;34; No;10;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer;Indígena; Secundaria;83;Mujer;Indígena; Secundaria;43; Sin informacion;26;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;46;Hombre;Mestizo; Educación media / Bachillerato;43
No;10;Por mutuo consentimiento via judicial;Hombre; Superior Universitario;Mestizo;56;Mujer;Mestizo; Educacion media o Bachillerato;48; Sin informacion;3;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación Básica;74;Mujer;Mestizo; Educación Básica;38; Sin informacion;4;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Superior Universitario;34;Hombre;Mestizo; Superior Universitario;33
No;26;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion media o Bachillerato;Mestizo;43;Mujer;Mestizo; Educacion media o Bachillerato;43; No;17;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;88;Mujer;Mestizo; Secundaria;38; No;20;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;46;Mujer;Mestizo; Educación media / Bachillerato;37
No;16;Por mutuo consentimiento via judicial;Hombre; Educacion Basica;Mestizo;37;Mujer;Mestizo; Educacion media o Bachillerato;39; No;13;Por mutuo consentimiento via notarial;Hombre;Mulato; Primaria;69;Mujer;Mestizo; Primaria;34; No;18;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;40;Mujer;Mestizo; Educación media / Bachillerato;38
No;20;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;41;Mujer;Mestizo; Superior Universitario;38; Sin informacion;0;Por mutuo consentimiento via notarial;Hombre;Mestizo; Primaria;70;Mujer;Mestizo; Primaria;33; No;25;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Superior Universitario;56;Hombre;Mestizo; Superior Universitario;50
No;2;Por mutuo consentimiento via notarial;Hombre;Ninguno;Mestizo;71;Mujer;Mestizo; Educacion media o Bachillerato;38; No;0;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;Otro; Superior no Universitario;82;Hombre;Mulato; Educación Básica;45; Sin informacion;14;Por mutuo consentimiento via judicial;Hombre;Mestizo; Secundaria;40;Mujer;Mestizo; Superior Universitario;38
No;21;Por mutuo consentimiento via judicial;Hombre; Primaria;Mestizo;53;Mujer;Mestizo; Primaria;44; Si;24;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Educación media / Bachillerato;82;Hombre;Mestizo; Educación media / Bachillerato;46; Sin informacion;7;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Indígena; Educación media / Bachillerato;31;Mujer;Mestizo; Educación media / Bachillerato;29
No;25;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Primaria;Mestizo;65;Mujer;Mestizo; Educacion media o Bachillerato;51; No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Secundaria;87;Hombre;Mestizo; Superior Universitario;45; Si;25;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Educación Básica;44;Hombre;Mestizo; Secundaria;44
No;9;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;45;Mujer;Mestizo; Secundaria;40; Sin informacion;0;Por mutuo consentimiento via judicial;Hombre;Mestizo; Secundaria;88;Hombre;Mestizo; Educación media / Bachillerato;51; Sin informacion;13;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación Básica;36;Mujer;Mestizo; Educación media / Bachillerato;30
No;29;Por mutuo consentimiento via notarial;Hombre; Primaria;Mestizo;58;Mujer;Mestizo; Secundaria;50; No;21;Por mutuo consentimiento via notarial;Hombre;Indígena; Secundaria;81;Hombre;Indígena; Primaria;42; No;0;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Educación media / Bachillerato;34;Mujer;Mestizo; Educación media / Bachillerato;27
No;33;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;54;Mujer;Mestizo; Educacion media o Bachillerato;56; No;3;Por mutuo consentimiento via notarial;Hombre;Mestizo; Secundaria;63;Hombre;Mestizo; Secundaria;27; No;10;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Secundaria;33;Hombre;Mestizo; Superior Universitario;29
No;30;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;47;Hombre;Mestizo; Educacion Basica;46; No;0;Por mutuo consentimiento via notarial;Hombre;Mestizo; Secundaria;57;Hombre;Mestizo; Educación media / Bachillerato;19; No;13;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Educación media / Bachillerato;44;Mujer;Mestizo; Educación media / Bachillerato;36
No;2;Por mutuo consentimiento via notarial;Hombre; Secundaria;Mestizo;27;Mujer;Mestizo; Secundaria;33; No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Primaria;40;Mujer;Mestizo; Primaria;44; No;25;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Indígena; Primaria;49;Mujer;Indígena; Primaria;43
No;12;Por mutuo consentimiento via judicial;Hombre; Primaria;Mestizo;40;Mujer;Mestizo; Educacion Basica;37; No;18;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Educación media / Bachillerato;38;Mujer;Mestizo; Educación media / Bachillerato;35; No;13;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Indígena; Primaria;65;Mujer;Mestizo; Primaria;49
No;46;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion media o Bachillerato;Mestizo;67;Mujer;Mestizo; Secundaria;64; No;26;Por mutuo consentimiento via judicial;Mujer;Mestizo; Superior Universitario;46;Mujer;Mestizo; Educación media / Bachillerato;44; Sin informacion;12;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación media / Bachillerato;46;Hombre;Mestizo; Superior Universitario;37
No;28;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Indigena;55;Hombre;Indigena; Primaria;46; No;40;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer;Mestizo; Educación media / Bachillerato;62;Hombre;Mestizo; Educación media / Bachillerato;59; No;24;Por mutuo consentimiento via notarial;Mujer;Mestizo; Educación Básica;44;Hombre;Mestizo; Educación Básica;39
No;4;Por mutuo consentimiento via judicial;Hombre; Educacion Basica;Mestizo;37;Mujer;Mestizo; Educacion Basica;34; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer;Mestizo; Educación Básica;26;Mujer;Mestizo; Educación media / Bachillerato;22; No;29;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;54;Mujer;Montubio; Educación media / Bachillerato;50
No;6;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion Basica;Mestizo;27;Mujer;Mestizo; Educacion Basica;36; No;13;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer;Mestizo; Educación media / Bachillerato;34;Mujer;Mestizo; Superior Universitario;33; No;16;Por mutuo consentimiento via judicial;Mujer;Mestizo; Secundaria;38;Hombre;Mestizo; Secundaria;36
No;19;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;47;Mujer;Mestizo; Superior Universitario;41; No;12;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer;Mestizo;Ninguno;31;Mujer;Mestizo; Educación media / Bachillerato;31; No;24;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Educación media / Bachillerato;42;Hombre;Mestizo; Educación media / Bachillerato;42
No;24;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre; Educacion Basica;Mestizo;47;Hombre;Mestizo; Educacion Basica;41; No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Mujer;Mestizo; Primaria;31;Mujer;Mestizo; Primaria;27; No;19;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Hombre;Mestizo; Secundaria;39;Mujer;Mestizo; Superior Universitario;39
No;8;Por mutuo consentimiento via notarial;Hombre; Educacion media o Bachillerato;Mestizo;32;Mujer;Mestizo; Educacion media o Bachillerato;29; No;25;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Primaria;47;Mujer;Mestizo; Educación media / Bachillerato;42; No;6;Por mutuo consentimiento via notarial;Mujer;Mestizo; Secundaria;31;Hombre;Mestizo; Secundaria;31
No;13;Por mutuo consentimiento via judicial;Hombre; Educacion media o Bachillerato;Mestizo;46;Hombre;Mestizo; Superior Universitario;40; No;2;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;32;Hombre;Mestizo; Secundaria;31; No;18;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación media / Bachillerato;45;Mujer;Mestizo; Educación media / Bachillerato;39
No;15;Por mutuo consentimiento via judicial;Hombre; Superior no Universitario;Mestizo;37;Hombre;Mestizo; Superior no Universitario;36; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;Mestizo; Primaria;30;Mujer;Mestizo; Secundaria;29; No;10;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;31;Mujer;Mestizo; Educación media / Bachillerato;27
No;4;Por mutuo consentimiento via judicial;Mujer; Secundaria;Indigena;35;Mujer;Indigena; Secundaria;34; No;4;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;32;Mujer;Mestizo; Educación media / Bachillerato;23; No;12;El abandono injustificado de cualquiera de los conyuges por mas de seis meses interrumpidos;Mujer;Mestizo; Superior Universitario;35;Hombre;Mestizo; Superior Universitario;32
No;5;Por mutuo consentimiento via notarial;Mujer; Educacion Basica;Mestizo;34;Hombre;Mestizo; Educacion Basica;33; No;27;Por mutuo consentimiento via judicial;Mujer;Mestizo; Educación media / Bachillerato;48;Mujer;Mestizo; Educación Básica;48; Sin informacion;13;Por mutuo consentimiento via notarial;Hombre;Mestizo; Educación Básica;51;Mujer;Mestizo; Educación Básica;40
No;9;Por mutuo consentimiento via judicial;Mujer; Superior no Universitario;Mestizo;34;Mujer;Mestizo; Secundaria;24; No;42;Por mutuo consentimiento via notarial;Hombre;Mestizo; Secundaria;65;Mujer;Mestizo; Secundaria;63; No;17;Por mutuo consentimiento via judicial;Hombre;Mestizo; Educación media / Bachillerato;45;Mujer;Mestizo; Educación media / Bachillerato;45
