prov_insc;cant_insc;parr_insc;fecha_mat;mcap_bie;dur_mat;cau_div;sexo_1;fecha_nac1;edad_1;p_etnica1;niv_inst1;sexo_2;fecha_nac2;edad_2;p_etnica2;niv_inst2
Imbabura;Otavalo;Jordan;3/8/2018; No;2;Por mutuo consentimiento via notarial;Hombre;8/11/1990;30;Mestizo; Secundaria;Mujer;29/5/1999;22;Mestizo; Secundaria
Tungurahua;Ambato;Huachi Chico;16/11/2017; No;3;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;8/12/1995;25;Indigena; Educacion media o Bachillerato;Mujer;3/7/1999;21;Indigena; Secundaria
Imbabura;Otavalo;Jordan;22/1/2018; No;3;El adulterio de uno de los conyuges;Hombre;5/11/1996;24;Indigena; Secundaria;Mujer;17/10/1998;22;Indigena; Secundaria
Imbabura;Otavalo;Jordan;3/10/2014; No;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;10/7/1995;25;Indigena; Primaria;Mujer;29/1/1999;22;Indigena; Secundaria
Pichincha;Quito;Quitumbe;12/4/2018; No;3;Por mutuo consentimiento via notarial;Hombre;9/2/1996;25;Mestizo; Primaria;Mujer;3/7/1999;22;Mestizo; Primaria
Pichincha;Quito;Quitumbe;9/1/2018; No;3;Por mutuo consentimiento via judicial;Hombre;7/4/1994;27;Mestizo; Secundaria;Mujer;24/9/1999;22;Mestizo; Secundaria
Tungurahua;Banos de Agua Santa;Banos de Agua Santa;3/9/2018; No;2;Por mutuo consentimiento via notarial;Hombre;23/3/1991;30;Mestizo; Superior Universitario;Mujer;27/5/2000;21;Mestizo; Secundaria
Carchi;Tulcan;Gonzalez Suarez;22/2/2019; No;2;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;24/10/1997;24;Mestizo; Secundaria;Mujer;23/1/2000;21;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu;21/11/2019; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;26/3/1998;23;Mestizo; Secundaria;Mujer;20/12/1998;22;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu;13/10/2014; No;6;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;20/11/1995;25;Mestizo; Secundaria;Mujer;10/9/1999;22;Indigena; Secundaria
Imbabura;Otavalo;Jordan;6/3/2017; No;4;Por mutuo consentimiento via judicial;Hombre;4/12/1991;29;Mestizo; Secundaria;Mujer;4/3/1999;22;Mestizo; Secundaria
Pichincha;Quito;Quitumbe;13/2/2020; No;1;Los tratos crueles o violencia contra la mujer o miembros del nucleo familiar;Hombre;4/5/1987;34;Mestizo; Educacion media o Bachillerato;Mujer;24/5/1999;22;Mestizo; Secundaria
Cotopaxi;Latacunga;Ignacio Flores (parque Flores);29/11/2019; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;30/9/1994;26;Mestizo; Educacion media o Bachillerato;Mujer;16/2/2000;21;Mestizo; Secundaria
Pichincha;Quito;Itchimbia;22/4/1983; No;38;Por mutuo consentimiento via judicial;Hombre;28/2/1959;62;Blanco; Superior no Universitario;Mujer;8/11/1958;62;Otro; Superior no Universitario
Pichincha;Quito;Itchimbia;9/9/1988; Sin informacion;32;Por mutuo consentimiento via judicial;Hombre;2/2/1968;53;Mestizo; Educacion Basica;Mujer;10/6/1971;49;Sin informacion; Primaria
El Oro;Pina;Pinas, cabecera cantonal;22/1/1999; No;21;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;11/9/1972;48;Mestizo; Educacion Basica;Mujer;30/8/1980;40;Mestizo; Educacion Basica
Loja;Celica;Celica, cabecera cantonal;18/4/2003; No;17;Por mutuo consentimiento via judicial;Hombre;1/5/1955;66;Mestizo; Primaria;Mujer;16/8/1985;35;Mestizo; Primaria
Imbabura;Otavalo;Jordan;1/3/1995; No;26;Por mutuo consentimiento via judicial;Hombre;2/8/1973;48;Indigena; Secundaria;Mujer;16/5/1976;45;Indigena; Secundaria
Pichincha;Quito;Calderon;20/8/2010; Sin informacion;10;Por mutuo consentimiento via judicial;Hombre;25/4/1988;33;Mestizo; Educacion Basica;Mujer;28/10/1991;29;Mestizo; Educacion Basica
Santo Domingo de los Tsachilas;Santo Domingo;Santo Domingo de los Coloradoss;15/4/1966; No;55;Por mutuo consentimiento via notarial;Hombre;4/8/1948;73;Mestizo; Educacion media o Bachillerato;Mujer;6/4/1948;73;Mestizo; Secundaria
Santo Domingo de los Tsachilas;Santo Domingo;Santo Domingo de los Coloradoss;11/5/1977; No;44;Por mutuo consentimiento via notarial;Hombre;23/4/1952;69;Mulato; Primaria;Mujer;2/8/1957;64;Mestizo; Primaria
Canar;Azogues;Azogues;12/11/2009; No;11;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;3/6/1989;31;Mestizo; Primaria;Mujer;15/5/1985;35;Mestizo; Primaria
Pichincha;Quito;Itchimbia;20/9/1990; Sin informacion;30;Por mutuo consentimiento via notarial;Hombre;9/3/1956;65;Otro; Superior no Universitario;Mujer;1/7/1957;64;Mulato; Educacion Basica
Guayas;Duran;Eloy Alfaro (Duran);26/11/2008; No;12;Por mutuo consentimiento via judicial;Hombre;25/10/1985;35;Mestizo; Educacion media o Bachillerato;Mujer;19/6/1983;38;Mestizo; Educacion media o Bachillerato
Pichincha;Quito;Itchimbia;3/1/2020; Sin informacion;1;Por mutuo consentimiento via notarial;Hombre;11/9/1998;22;Mestizo; Secundaria;Mujer;24/8/1999;21;Mestizo; Educacion media o Bachillerato
Pichincha;Quito;Itchimbia;29/11/2018; Sin informacion;2;Por mutuo consentimiento via judicial;Hombre;27/3/1999;22;Indigena; Secundaria;Mujer;1/2/1997;24;Indigena; Primaria
Carchi;Tulcan;Gonzalez Suarez;17/7/2019; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;14/1/2000;21;Mestizo; Secundaria;Mujer;30/5/1997;24;Mestizo; Secundaria
Pichincha;Quito;Itchimbia;18/8/2021; Sin informacion;0;Por mutuo consentimiento via notarial;Hombre;11/8/2000;21;Mestizo; Secundaria;Mujer;18/3/2002;19;Mestizo; Educacion media o Bachillerato
Canar;Azogues;Azogues;18/6/2010; No;10;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;15/5/1938;83;Mestizo; Primaria;Mujer;29/9/1977;43;Mestizo; Primaria
Guayas;Guayaquil;Tarqui;8/5/2017; Sin informacion;3;Por mutuo consentimiento via notarial;Hombre;2/11/1946;74;Mestizo; Superior Universitario;Mujer;25/12/1982;38;Mestizo; Educacion media o Bachillerato
Manabi;Portoviejo;18 de Octubre;4/7/2003; No;17;Por mutuo consentimiento via notarial;Hombre;28/8/1932;88;Mestizo; Educacion media o Bachillerato;Mujer;21/1/1983;38;Mestizo; Educacion media o Bachillerato
Manabi;Portoviejo;18 de Octubre;21/9/2007; No;13;Por mutuo consentimiento via notarial;Hombre;15/5/1952;69;Mestizo; Educacion Basica;Mujer;30/7/1986;34;Mestizo; Educacion media o Bachillerato
Santo Domingo de los Tsachilas;Santo Domingo;Santo Domingo de los Coloradoss;17/9/2020; Sin informacion;0;Por mutuo consentimiento via notarial;Hombre;21/7/1950;70;Mestizo; Educacion media o Bachillerato;Mujer;8/6/1987;33;Mestizo; Superior Universitario
Manabi;Manta;Tarqui;28/10/2020; No;0;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;13/6/1939;82;Mestizo;Ninguno;Mujer;22/2/1976;45;Mestizo; Educacion media o Bachillerato
Azuay;Cuenca;San Blas;5/6/1997; Si;24;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;5/4/1939;82;Mestizo; Primaria;Mujer;2/12/1974;46;Mestizo; Primaria
Imbabura;Ibarra;San Francisco;21/11/2003; No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;26/10/1933;87;Mestizo; Primaria;Mujer;6/6/1975;45;Mestizo; Educacion media o Bachillerato
Tungurahua;Ambato;Huachi Chico;21/1/2021; Sin informacion;0;Por mutuo consentimiento via judicial;Hombre;28/11/1932;88;Mestizo; Educacion media o Bachillerato;Mujer;19/9/1969;51;Mestizo; Secundaria
Sucumbíos;Shushufindi;Shushufindi, cabecera cantonal;3/4/2000; No;21;Por mutuo consentimiento via notarial;Hombre;19/3/1940;81;Mestizo; Primaria;Mujer;1/11/1978;42;Mestizo; Secundaria
Los Rios;Quevedo;San Camilo;6/3/2018; No;3;Por mutuo consentimiento via notarial;Hombre;23/8/1958;63;Mestizo; Educacion media o Bachillerato;Mujer;5/9/1994;27;Mestizo; Educacion media o Bachillerato
Canar;Azogues;Azogues;27/8/2020; No;0;Por mutuo consentimiento via notarial;Hombre;18/12/1963;57;Mestizo; Educacion media o Bachillerato;Mujer;18/10/2001;19;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;6/6/2003; No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;11/11/1980;40;Mestizo; Secundaria;Mujer;29/11/1976;44;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu;21/1/2002; No;18;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;12/12/1982;38;Mestizo; Primaria;Mujer;20/4/1985;35;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;22/12/1993; No;26;Por mutuo consentimiento via judicial;Hombre;21/4/1974;46;Mestizo; Educacion media o Bachillerato;Mujer;7/6/1976;44;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu;13/12/1980; No;40;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;23/7/1958;62;Indigena; Educacion media o Bachillerato;Mujer;2/9/1961;59;Indigena; Primaria
Chimborazo;Riobamba;Lizarzaburu;25/6/2019; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;3/1/1995;26;Mestizo; Educacion Basica;Mujer;23/7/1998;22;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;28/11/2007; No;13;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;25/11/1986;34;Mestizo; Educacion Basica;Mujer;10/4/1987;33;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;26/12/2007; No;12;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;10/7/1989;31;Mestizo; Educacion media o Bachillerato;Mujer;1/12/1989;31;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu;13/1/2011; No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;25/4/1989;31;Mestizo; Educacion Basica;Mujer;7/3/1993;27;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;15/6/1995; No;25;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;7/12/1973;47;Mestizo; Educacion media o Bachillerato;Mujer;1/7/1978;42;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;14/8/2018; No;2;Por mutuo consentimiento via judicial;Hombre;24/7/1988;32;Mestizo; Educacion media o Bachillerato;Mujer;29/8/1989;31;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu;17/2/2019; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;10/6/1990;30;Mestizo; Superior no Universitario;Mujer;17/1/1991;29;Mestizo; Superior no Universitario
Chimborazo;Riobamba;Lizarzaburu;4/10/2016; No;4;Por mutuo consentimiento via judicial;Hombre;21/6/1988;32;Indigena; Secundaria;Mujer;1/4/1997;23;Indigena; Secundaria
Chimborazo;Riobamba;Lizarzaburu;7/2/1993; No;27;Por mutuo consentimiento via judicial;Hombre;15/3/1972;48;Mestizo; Educacion Basica;Mujer;29/11/1972;48;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;6/2/1978; No;42;Por mutuo consentimiento via notarial;Hombre;24/4/1955;65;Mestizo; Superior no Universitario;Mujer;2/5/1957;63;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu;22/1/1987; No;33;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;27/3/1969;51;Indigena; Educacion Basica;Mujer;29/12/1969;51;Indigena; Primaria
Chimborazo;Riobamba;Lizarzaburu;5/5/2009; Sin informacion;11;Por mutuo consentimiento via notarial;Hombre;22/7/1987;33;Mestizo; Superior Universitario;Mujer;5/10/1980;40;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu;31/7/1998; No;22;Por mutuo consentimiento via notarial;Hombre;3/1/1938;83;Mestizo; Secundaria;Mujer;7/7/1955;65;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu;5/9/2013; No;7;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;11/12/1978;42;Mestizo; Superior Universitario;Mujer;10/8/1986;34;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu;20/1/2003; No;17;Por mutuo consentimiento via judicial;Hombre;5/4/1977;43;Mestizo; Educacion media o Bachillerato;Mujer;19/12/1981;39;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;18/5/2007; No;13;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;8/9/1985;35;Mestizo; Educacion Basica;Mujer;28/8/1984;36;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;20/11/1998; No;22;Por mutuo consentimiento via notarial;Hombre;10/3/1975;45;Mestizo; Educacion media o Bachillerato;Mujer;10/8/1979;41;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu;4/1/1981; No;39;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;20/12/1957;63;Mestizo; Educacion Basica;Mujer;4/6/1964;56;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;5/6/1988; No;32;Por mutuo consentimiento via notarial;Hombre;3/6/1971;49;Mestizo; Educacion Basica;Mujer;2/2/1959;61;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;7/8/2014; No;6;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;15/4/1989;31;Mestizo; Educacion media o Bachillerato;Mujer;15/12/1993;27;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;9/7/2011; No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;25/2/1976;44;Indigena; Educacion media o Bachillerato;Mujer;9/2/1989;31;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;9/3/2018; No;2;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;30/9/1987;33;Mestizo; Primaria;Mujer;8/2/1989;31;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu;18/6/2012; No;7;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;1/9/1983;37;Mestizo; Educacion media o Bachillerato;Mujer;28/11/1989;31;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu;1/8/2008; No;12;Por mutuo consentimiento via judicial;Hombre;1/9/1966;54;Mestizo; Educacion media o Bachillerato;Mujer;15/12/1978;42;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu;16/9/1986; No;33;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;15/10/1967;53;Mestizo; Educacion Basica;Mujer;12/8/1964;56;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;16/8/1994; No;26;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;14/4/1975;45;Indigena; Educacion Basica;Mujer;4/11/1958;62;Indigena;Ninguno
Chimborazo;Riobamba;Lizarzaburu;16/1/1992; No;28;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;11/5/1963;57;Mestizo; Educacion Basica;Mujer;2/3/1969;51;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;21/12/1995; No;24;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;30/5/1976;44;Mestizo; Educacion Basica;Mujer;22/7/1980;40;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;30/5/2011; No;8;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;13/3/1990;30;Mestizo; Secundaria;Mujer;29/10/1992;28;Mestizo; Primaria
Chimborazo;Riobamba;Lizarzaburu;12/9/2014; No;6;Por mutuo consentimiento via notarial;Hombre;21/10/1984;36;Mestizo; Superior Universitario;Mujer;24/8/1988;32;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu;15/6/2012; No;8;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;2/8/1991;29;Mestizo; Educacion media o Bachillerato;Mujer;2/10/1994;26;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;3/4/2002; No;18;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;30/10/1980;40;Mestizo; Educacion media o Bachillerato;Mujer;9/2/1979;41;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;25/9/1973; Sin informacion;47;Por mutuo consentimiento via notarial;Hombre;9/11/1954;66;Mestizo; Superior Universitario;Mujer;27/10/1955;65;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu;28/3/1999; No;21;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;4/3/1978;42;Mestizo; Educacion Basica;Mujer;16/7/1979;41;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;28/2/2011; No;9;Por mutuo consentimiento via notarial;Hombre;8/11/1988;32;Mestizo; Educacion media o Bachillerato;Mujer;10/11/1985;35;Mestizo; Superior no Universitario
Chimborazo;Riobamba;Lizarzaburu;16/10/2010; No;10;Por mutuo consentimiento via notarial;Hombre;23/4/1987;33;Mestizo; Educacion media o Bachillerato;Mujer;13/3/1988;32;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;21/4/2009; No;11;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;4/3/1990;30;Indigena; Primaria;Mujer;15/9/1988;32;Indigena; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu;5/9/2014; No;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;7/4/1974;46;Mestizo; Educacion media o Bachillerato;Mujer;19/8/1974;46;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;8/9/2011; No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;11/4/1988;32;Mestizo; Educacion Basica;Mujer;12/9/1989;31;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;21/3/2003; No;17;Por mutuo consentimiento via judicial;Hombre;19/2/1979;41;Mestizo; Educacion media o Bachillerato;Mujer;20/8/1983;37;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;29/11/1992; No;28;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;7/8/1971;49;Mestizo; Educacion Basica;Mujer;17/12/1963;57;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;7/1/2013; No;8;Por mutuo consentimiento via notarial;Hombre;15/5/1995;25;Mestizo; Educacion media o Bachillerato;Mujer;13/2/1998;22;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;3/9/1989; No;28;Por mutuo consentimiento via notarial;Hombre;24/1/1958;63;Mestizo; Educacion media o Bachillerato;Mujer;20/5/1970;50;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;30/10/2003; Sin informacion;17;Por mutuo consentimiento via notarial;Hombre;20/1/1977;44;Mestizo; Superior Universitario;Mujer;15/1/1977;44;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;20/12/1995; Sin informacion;24;Por mutuo consentimiento via notarial;Hombre;10/11/1976;44;Mestizo; Educacion Basica;Mujer;20/5/1980;40;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;11/9/2011; No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;8/5/1992;28;Mestizo; Secundaria;Mujer;11/11/1989;31;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;19/6/2002; No;18;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;4/7/1977;43;Indigena; Primaria;Mujer;29/4/1972;48;Indigena; Primaria
Chimborazo;Riobamba;Lizarzaburu;26/2/2015; No;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;25/12/1991;29;Mestizo; Educacion media o Bachillerato;Mujer;18/3/1992;28;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;19/3/2014; No;6;Por mutuo consentimiento via notarial;Hombre;10/6/1984;36;Mestizo; Educacion media o Bachillerato;Mujer;3/7/1983;37;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;13/6/2001; No;19;Por mutuo consentimiento via notarial;Hombre;20/4/1981;39;Mestizo; Educacion Basica;Mujer;6/8/1979;41;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;23/2/2012; No;8;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial;Hombre;20/8/1985;35;Mestizo; Educacion media o Bachillerato;Mujer;27/3/1989;31;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;21/3/2014; No;6;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;4/9/1995;25;Mestizo; Educacion media o Bachillerato;Mujer;20/6/1995;25;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;1/3/2017; No;3;Por mutuo consentimiento via notarial;Hombre;4/7/1975;45;Mestizo; Educacion media o Bachillerato;Mujer;31/8/1982;38;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu;24/3/2002; No;18;Por mutuo consentimiento via notarial;Hombre;22/8/1985;35;Indigena; Secundaria;Mujer;18/12/1984;36;Indigena; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;4/7/1999; No;21;Por mutuo consentimiento via judicial;Hombre;5/12/1981;39;Mestizo; Educacion Basica;Mujer;25/6/1984;36;Indigena; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;19/12/1986; No;34;Por mutuo consentimiento via notarial;Hombre;31/10/1962;58;Mestizo; Educacion media o Bachillerato;Mujer;30/9/1966;54;Mestizo; Superior no Universitario
Chimborazo;Riobamba;Lizarzaburu;25/11/2005; No;15;Por mutuo consentimiento via notarial;Hombre;14/3/1978;42;Mestizo; Superior Universitario;Mujer;10/5/1980;40;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu;20/7/2011; No;9;Por mutuo consentimiento via notarial;Hombre;11/12/1987;33;Mestizo; Educacion Basica;Mujer;21/3/1991;29;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu;4/5/2012; No;8;Por mutuo consentimiento via judicial;Hombre;27/5/1986;34;Mestizo; Educacion media o Bachillerato;Mujer;2/10/1993;27;Mestizo; Superior Universitario
Chimborazo;Alausi;Alausi, cabecera cantonal;27/7/2006; No;14;Las amenazas graves de un conyuge contra la vida del otro;Hombre;10/7/1988;32;Indigena; Educacion Basica;Mujer;28/1/1989;31;Indigena; Educacion Basica
Napo;Tena;Tena, cabecera cantonal y capital provincial;6/10/2000; No;20;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;3/2/1978;42;Indigena; Educacion media o Bachillerato;Mujer;22/2/1981;39;Indigena; Educacion media o Bachillerato
Chimborazo;Alausi;Alausi, cabecera cantonal;19/7/1996; No;24;Por mutuo consentimiento via notarial;Hombre;15/9/1978;42;Mestizo; Educacion media o Bachillerato;Mujer;3/3/1972;48;Mestizo; Educacion media o Bachillerato
Chimborazo;Alausi;Alausi, cabecera cantonal;15/5/2007; No;13;Por mutuo consentimiento via judicial;Hombre;8/7/1987;33;Mestizo; Educacion media o Bachillerato;Mujer;17/1/1988;33;Mestizo; Educacion media o Bachillerato
Napo;Tena;Tena, cabecera cantonal y capital provincial;30/7/2012; No;8;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos;Hombre;1/5/1971;49;Indigena; Educacion media o Bachillerato;Mujer;18/3/1967;53;Indigena; Educacion media o Bachillerato
Napo;Tena;Tena, cabecera cantonal y capital provincial;5/9/1997; Sin informacion;23;Por mutuo consentimiento via notarial;Hombre;4/12/1976;44;Mestizo; Jardin de Infantes;Mujer;20/4/1974;46;Mestizo; Educacion Basica
